sphere,stateBody,theme,link,MachineReadableFormat,linkToDataset
Природа и экология,Министерство природных ресурсов и охраны окружающей среды,Карта-схема особо охраняемых природных территорий Республики Беларусь,http://www.minpriroda.gov.by/ru/map-ru/,нет,
Природа и экология,Министерство природных ресурсов и охраны окружающей среды,Развитие минерально-сырьевой базы страны,http://minpriroda.gov.by/ru/minsyrbaza-ru/,нет,
Погода,Министерство природных ресурсов и охраны окружающей среды,,http://hmc.by/observer/climat/,,
Природа и экология,Министерство природных ресурсов и охраны окружающей среды,Архив гидрологических наблюдений,http://pogoda.by/315/arch_gid.php,,
Природа и экология,Министерство природных ресурсов и охраны окружающей среды,Демографические данные Республики Беларусь,http://un.by/ru/unfpa/demography/resource/statistics/395c0fd2cf56c.html,,
Природа и экология,Министерство природных ресурсов и охраны окружающей среды,Отчет по выполнению Рамсарской конвенции (водно-болотные угодья),http://minpriroda.gov.by/uploads/files/000263_372650_Ramsar_otchet_2007_rus_ispr_posle.doc,,
Природа и экология,"Республиканский центр по гидрометеорологии, контролю радиоактивного загрязнения и мониторингу окружающей среды",Схемы размещения пунктов наблюдения по видам мониторинга,http://rad.org.by/snob/,,
Природа и экология,"Центр международных экологических проектов, сертификации и аудита «Экологияинвест»","Реестр организаций, работающих с отходами",http://www.ecoinv.by/ru/ecocert/servoos.html,,
Природа и экология,"Республиканский центр гигиены, эпидемиологии и общественного здоровья","Сводные данные о выявленных в ходе государственной санитарно-гигиенической экспертизы партиях продукции, несоответствующих по показателям безопасности установленным требованиям",http://www.rcheph.by/svodnie-tablici/,,
Природа и экология,Республиканское научно-исследовательское унитарное предприятие «Бел НИЦ «Экология» (РУП «Бел НИЦ «Экология»),сбор батареек,http://www.ecoinfo.by/content/470.html,,
Природа и экология,Научно-справочная информация сайта Министерства природных ресурсов и охраны окружающей среды,Потенциальные местоположения солнечных фотоэлектрических электростанций. Карта солнечной радиации,http://www.ipps.by:9083/apex/f?p=105:13:4247169658930586::NO,да,https://opendata.by/dataset/1045
Природа и экология,Научно-справочная информация сайта Министерства природных ресурсов и охраны окружающей среды,"Альтернативная энергетика: потенциал регионов Беларуси для размещения гидро-, геотермальных и ветряных электростанций. Карта метеорологических наблюдений",http://www.ipps.by:9083/apex/f?p=105:13:4247169658930586::NO,да,https://opendata.by/node/853
Природа и экология,Научно-справочная информация сайта Министерства природных ресурсов и охраны окружающей среды,Альтернативная энергетика: актинометрическая информация (первичные данные) за многолетний период,http://www.ipps.by:9083/apex/f?p=105:13:4247169658930586::NO,да,https://opendata.by/node/848
Природа и экология,Научно-справочная информация сайта Министерства природных ресурсов и охраны окружающей среды,Альтернативная энергетика: потенциал регионов Беларуси для размещения геотермальных и ветряных электростанций. Метеорологическая информация (первичные данные) за многолетний период,http://www.ipps.by:9083/apex/f?p=105:13:4247169658930586::NO,да,https://opendata.by/node/846
Природа и экология,Научно-справочная информация сайта Министерства природных ресурсов и охраны окружающей среды,"Альтернативная энергетика: потенциал регионов Беларуси для размещения геотермальных, фотоэлектрических электростанций. Средняя температура воздуха за январь",http://www.ipps.by:9083/apex/f?p=105:13:4247169658930586::NO,да,https://opendata.by/node/560
